game_id,season,week,home_team,away_team,neutral_site
401281942,2021,1,Miami,Alabama,True
401281943,2021,1,Arkansas,Rice,False
401281944,2021,1,Auburn,Akron,False
401281945,2021,1,Florida,Florida Atlantic,False
401281946,2021,1,Clemson,Georgia,True
401281947,2021,1,Kentucky,UL Monroe,False
401281948,2021,1,UCLA,LSU,False
401281949,2021,1,Mississippi State,Louisiana Tech,False
401281950,2021,1,Missouri,Central Michigan,False
401281951,2021,1,South Carolina,Eastern Illinois,False
401281952,2021,1,Tennessee,Bowling Green,False
401282049,2021,1,New Mexico State,UTEP,False
401282050,2021,1,Jacksonville State,UAB,True
401282051,2021,1,Florida International,Long Island University,False
401282052,2021,1,Charlotte,Duke,False
401282053,2021,1,Texas A&M,Kent State,False
401282054,2021,1,Vanderbilt,East Tennessee State,False
401282055,2021,1,Ole Miss,Louisville,True
401282173,2021,1,Middle Tennessee,Monmouth,False
401282174,2021,1,Navy,Marshall,False
401282175,2021,1,North Texas,Northwestern State,False
401282177,2021,1,South Alabama,Southern Miss,False
401282178,2021,1,UTEP,Bethune-Cookman,False
401282179,2021,1,Illinois,UTSA,False
401282180,2021,1,Western Kentucky,UT Martin,False
401282607,2021,1,NC State,South Florida,False
401282608,2021,1,Wake Forest,Old Dominion,False
401282609,2021,1,Boston College,Colgate,False
401282610,2021,1,Georgia Tech,Northern Illinois,False
401282611,2021,1,Ohio,Syracuse,False
401282612,2021,1,Pittsburgh,Massachusetts,False
401282613,2021,1,Virginia,William & Mary,False
401282614,2021,1,Florida State,Notre Dame,False
401282714,2021,1,Illinois,Nebraska,False
401282723,2021,1,Iowa,Indiana,False
401282764,2021,1,Maryland,West Virginia,False
401282772,2021,1,Michigan,Western Michigan,False
401282782,2021,1,Northwestern,Michigan State,False
401282789,2021,1,Minnesota,Ohio State,False
401282815,2021,1,Wisconsin,Penn State,False
401282819,2021,1,Purdue,Oregon State,False
401282822,2021,1,Rutgers,Temple,False
401286187,2021,1,Fresno State,UConn,False
401286188,2021,1,UConn,Holy Cross,False
401286294,2021,1,Liberty,Campbell,False
401287886,2021,1,Houston,Texas Tech,True
401287887,2021,1,Iowa State,Northern Iowa,False
401287888,2021,1,Kansas,South Dakota,False
401287889,2021,1,Kansas State,Stanford,True
401287890,2021,1,Oklahoma State,Missouri State,False
401287891,2021,1,TCU,Duquesne,False
401287892,2021,1,Texas,Louisiana,False
401287893,2021,1,Texas State,Baylor,False
401287894,2021,1,Oklahoma,Tulane,False
401300993,2021,1,Appalachian State,East Carolina,True
401300994,2021,1,Tulsa,UC Davis,False
401300995,2021,1,UCF,Boise State,False
401300996,2021,1,Cincinnati,Miami (OH),False
401300997,2021,1,Memphis,Nicholls,False
401300998,2021,1,SMU,Abilene Christian,False
401309540,2021,1,Ball State,Western Illinois,False
401309541,2021,1,Eastern Michigan,St. Francis (PA),False
401309542,2021,1,Buffalo,Wagner,False
401309543,2021,1,Toledo,Norfolk State,False
401309598,2021,1,Arkansas State,Central Arkansas,False
401309600,2021,1,Georgia Southern,Gardner-Webb,False
401309601,2021,1,Georgia State,Army,False
401309602,2021,1,Troy,Southern,False
