,offense_voa,defense_voa,total_rating
Vanderbilt,0.4056606488994169,0.0061576366440400454,0.3995030122553768
Ohio State,0.28447390107834986,-0.0370757602458281,0.32154966132417795
Old Dominion,0.2922261574862153,-0.019912386222323327,0.3121385437085386
Notre Dame,0.25306061219140596,-0.019712827237488167,0.27277343942889415
Oregon,0.24662928386173166,-0.02330993119361678,0.26993921505534846
Indiana,0.23282742683619329,-0.03211664487409102,0.26494407171028433
Texas A&M,0.2218555435479643,-0.01674712846616334,0.23860267201412763
USC,0.24248325248444624,0.006209610700098452,0.2362736417843478
Utah,0.20524902902785383,-0.005591814242345599,0.21084084327019942
South Florida,0.1934920212882637,-0.008371948027938414,0.20186396931620212
Miami,0.16357020983669485,-0.03790699035646784,0.20147720019316268
North Texas,0.19905283630034773,-0.00023513837144568183,0.1992879746717934
Tennessee,0.19760379695257407,0.002659103642984729,0.19494469330958936
Cincinnati,0.19694336145225508,0.013467244038388617,0.18347611741386646
Michigan,0.1500611298240489,-0.017276304306525866,0.16733743413057478
Georgia Tech,0.17513728369180506,0.009124704481108654,0.1660125792106964
UNLV,0.16765732843152342,0.011801337893733551,0.15585599053778987
Kansas,0.16950356420179316,0.014555996551521268,0.1549475676502719
Washington,0.13874854777153844,-0.007262450389901083,0.14601099816143953
Ole Miss,0.14386361706930464,0.004024993311511116,0.13983862375779352
NC State,0.14449376619446022,0.007387134128847757,0.13710663206561247
Arkansas,0.15726990698579477,0.02022920507545296,0.13704070191034182
Tulane,0.1281935385342979,-0.006141533724295752,0.13433507225859365
Texas State,0.12800466930129942,-0.0005970141711671102,0.12860168347246653
BYU,0.10877336242232466,-0.013765340293767562,0.12253870271609223
Arizona,0.10465796493665343,-0.017871959810903167,0.1225299247475566
Toledo,0.07826670273861874,-0.042664554348707834,0.12093125708732658
Rutgers,0.1512773796880892,0.03420035213676279,0.1170770275513264
Navy,0.12068725620516361,0.009723331994890089,0.11096392421027353
Florida State,0.10979940653664981,0.0008256621450921319,0.10897374439155767
UConn,0.10932720744304608,0.0013548172845303725,0.10797239015851572
Georgia Southern,0.11612020536979248,0.014133058977182795,0.10198714639260968
Kennesaw State,0.09441522451049249,-0.004486941963231699,0.09890216647372418
Texas Tech,0.057096933811507385,-0.0417001325268834,0.09879706633839078
Utah State,0.08664146653166772,-0.0007128071781498612,0.08735427370981759
East Carolina,0.07150036426709074,-0.013132029237481042,0.08463239350457177
Georgia,0.07270954386780602,-0.01063083090669565,0.08334037477450168
Alabama,0.0688512399793376,-0.01126987199954569,0.0801211119788833
TCU,0.0574035158183547,-0.006737985147286931,0.06414150096564163
SMU,0.06010791451266383,-0.0014803433252363574,0.061588257837900194
Duke,0.06462234856930461,0.003883154779429663,0.060739193789874954
James Madison,0.026566194165538553,-0.02894919607439429,0.05551539023993284
Hawai'i,0.05773139815293009,0.002740407130122476,0.05499099102280761
Western Michigan,0.03778894647223693,-0.016874989595826596,0.05466393606806352
Clemson,0.05135397363186082,-0.0017095809237929116,0.05306355455565373
Penn State,0.05644446970543946,0.004676198394312883,0.05176827131112658
Illinois,0.05378939534573538,0.004957148892897183,0.0488322464528382
Kent State,0.06166191371797322,0.01399869797939023,0.047663215738582995
San Diego State,0.01383844229053426,-0.03116847082185817,0.045006913112392424
Louisville,0.023960396770606962,-0.019347126559115097,0.043307523329722056
Boise State,0.028174882601596847,-0.011170310427279218,0.03934519302887607
Washington State,0.028714424911170707,-0.00463895367681427,0.033353378587984976
Jacksonville State,0.026163193390297455,-0.005110409895947284,0.03127360328624474
Auburn,0.01672397577751645,-0.012374708702204055,0.029098684479720506
Baylor,0.04371849424318621,0.014839338534238638,0.02887915570894757
Memphis,0.03620386899250403,0.010695337498201552,0.02550853149430248
Ohio,0.016350719299974534,-0.008576783976892322,0.024927503276866856
Texas,0.0023336768863906677,-0.015072711500449561,0.01740638838684023
Oklahoma,-0.012269537393930182,-0.02619105752610114,0.013921520132170956
San José State,0.021524345760037984,0.00854714134902731,0.012977204411010674
Kansas State,0.004273277317818504,-0.007012258601814366,0.01128553591963287
South Alabama,0.02299941538090828,0.014498548643177935,0.008500866737730345
Missouri State,0.01637332472454737,0.00879717954125638,0.007576145183290991
Marshall,0.010917205878824242,0.0033470326731031377,0.007570173205721105
UTSA,0.015249496615542436,0.010641927479726754,0.004607569135815682
Virginia,-0.016232269845348403,-0.010745884045177316,-0.005486385800171087
Western Kentucky,-0.01891692317325647,-0.013364774138815042,-0.005552149034441428
Pittsburgh,-0.03143013120326177,-0.02221262648557144,-0.009217504717690329
Liberty,-0.002866798195135903,0.007339098604485601,-0.010205896799621503
Nebraska,-0.017912481342274276,-0.005984887009351058,-0.011927594332923218
Arizona State,-0.029498657327669035,-0.012703898767224423,-0.016794758560444614
Miami (OH),-0.032985615952029375,-0.014352889211118502,-0.018632726740910873
Louisiana Tech,-0.04907912485395377,-0.026963049668892736,-0.022116075185061035
Iowa,-0.03903023628598057,-0.014395578377402794,-0.024634657908577773
Houston,-0.038561754241289166,-0.012455158289394317,-0.02610659595189485
Missouri,-0.043533475933256474,-0.016335896199031617,-0.027197579734224858
Temple,-0.00693836724572686,0.021715996772844633,-0.028654364018571493
Florida,-0.032050613548170355,-0.0012497116670694452,-0.03080090188110091
Boston College,-0.012936419332949702,0.02068601928600678,-0.03362243861895648
Kentucky,-0.04119070558375773,-0.007142030738276988,-0.03404867484548074
New Mexico,-0.0397674680407107,-0.0015282929696941558,-0.03823917507101654
UCF,-0.042570272913041204,0.00043668984605788356,-0.043006962759099085
Wake Forest,-0.05570724775866655,-0.012475572849971387,-0.04323167490869516
Iowa State,-0.050018656511015926,-0.004191665102579075,-0.04582699140843685
South Carolina,-0.046200701124241246,-1.2868900729518782e-05,-0.04618783222351173
Air Force,-0.007911428161817242,0.04230703008196986,-0.050218458243787095
Oregon State,-0.06508626688698908,-0.012072617950757683,-0.0530136489362314
Delaware,-0.050760407662368556,0.0033241362265309785,-0.054084543888899536
Maryland,-0.05629539038344892,0.001221364605905825,-0.05751675498935475
North Carolina,-0.06772818870369456,-0.006825026281270914,-0.06090316242242364
Southern Miss,-0.06547249267239236,-0.0030860068773177324,-0.06238648579507462
Eastern Michigan,-0.05411399100371291,0.01063444227409897,-0.06474843327781188
California,-0.07175199785161417,-0.004353911772251681,-0.06739808607936248
LSU,-0.09147180851291675,-0.023651442741989437,-0.06782036577092732
Central Michigan,-0.06936096492830035,0.0003962014585302594,-0.0697571663868306
Virginia Tech,-0.053502202631770385,0.021329754345316004,-0.07483195697708639
Middle Tennessee,-0.06448551479041337,0.010881118756713557,-0.07536663354712693
Colorado,-0.07614615505500576,0.0062942986714154105,-0.08244045372642117
Fresno State,-0.1004822643645858,-0.01725831110446284,-0.08322395326012295
UAB,-0.06353212660460533,0.022585967484479785,-0.08611809408908512
Purdue,-0.06770321064608732,0.02145066636010815,-0.08915387700619547
Coastal Carolina,-0.07571359967081835,0.015340396211999044,-0.0910539958828174
UL Monroe,-0.08570387079604844,0.005427737421129402,-0.09113160821717783
Mississippi State,-0.08200759881368855,0.009237812233503931,-0.09124541104719248
Minnesota,-0.09733137958603759,-0.003247191234935409,-0.09408418835110217
Louisiana,-0.07201412708187854,0.023921051515622238,-0.09593517859750078
Akron,-0.10294823964887716,-0.006434830759671851,-0.0965134088892053
App State,-0.09425495580400567,0.005409604169518161,-0.09966455997352383
Georgia State,-0.07133942868908498,0.0333618638716502,-0.10470129256073518
Army,-0.10005577009316886,0.0070203089972612695,-0.10707607909043013
Florida Atlantic,-0.0855615051366377,0.022234275372468484,-0.10779578050910618
Florida International,-0.10246707513155065,0.007060055592573947,-0.1095271307241246
Tulsa,-0.10452795012566805,0.006227602999267149,-0.11075555312493521
Michigan State,-0.09348488034254147,0.01920957828918584,-0.1126944586317273
Nevada,-0.12819610440851772,-0.010838869883455267,-0.11735723452506246
UCLA,-0.10902439163257467,0.017195980095666103,-0.12622037172824077
Northern Illinois,-0.13563113523100995,0.00472381762249418,-0.14035495285350413
Buffalo,-0.14376756917463798,-0.0001768910909897698,-0.1435906780836482
Northwestern,-0.13141462381384167,0.01241075655191057,-0.14382538036575224
Bowling Green,-0.15876146605850877,0.008107552726914843,-0.16686901878542362
West Virginia,-0.16467527690792963,0.006838356173317226,-0.17151363308124687
Troy,-0.1804317119743802,0.0066625939790467496,-0.18709430595342696
Arkansas State,-0.18682805485603676,0.0018321786599928573,-0.18866023351602962
Oklahoma State,-0.16478832012288142,0.026516627111242187,-0.1913049472341236
Sam Houston,-0.18811880676272036,0.009377497556604223,-0.19749630431932458
Rice,-0.1925070896826333,0.009715135677834483,-0.2022222253604678
Wisconsin,-0.21643698731756994,-0.0017114415797848165,-0.21472554573778513
Stanford,-0.21456459011893592,0.005883848794110484,-0.2204484389130464
Wyoming,-0.23786877776249024,-0.00908002746903326,-0.228788750293457
Syracuse,-0.20717649011587416,0.026047586114977612,-0.23322407623085178
Colorado State,-0.21364876024509566,0.02189993235843188,-0.23554869260352754
New Mexico State,-0.2517501415661928,-0.0007036686170252486,-0.25104647294916754
Massachusetts,-0.24816685855137993,0.04101641315716495,-0.28918327170854485
Ball State,-0.28316555105839597,0.012517669710222154,-0.29568322076861814
UTEP,-0.38164131982168437,0.0014276179574878082,-0.38306893777917217
Charlotte,-0.35213732823720184,0.0344096788814471,-0.3865470071186489
