season,week,home_team,away_team,rating_diff,actual_margin,actual_home_win,home_score,away_score
2021,4,Alabama,Southern Miss,0.1771046538169328,49,True,63,14
2021,4,Arkansas,Texas A&M,0.0727799763666706,10,True,20,10
2021,4,Auburn,Georgia State,0.3243197695600611,10,True,34,24
2021,4,Florida,Tennessee,0.1776318719251002,24,True,38,14
2021,4,Mississippi State,LSU,-0.0945859493333369,-3,False,25,28
2021,4,Boston College,Missouri,0.2281281676014451,7,True,41,34
2021,4,South Carolina,Kentucky,-0.5858462977979164,-6,False,10,16
2021,4,Vanderbilt,Georgia,-0.3592936554850096,-62,False,0,62
2021,4,Charlotte,Middle Tennessee,0.328482918429139,3,True,42,39
2021,4,Louisiana Tech,North Texas,0.1976398976345575,7,True,24,17
2021,4,Central Michigan,Florida International,-0.3178894886650188,4,True,31,27
2021,4,Air Force,Florida Atlantic,0.0154081957534595,24,True,31,7
2021,4,App State,Marshall,0.0216854378571017,1,True,31,30
2021,4,Old Dominion,Buffalo,-0.1466171479909074,-1,False,34,35
2021,4,Tulane,UAB,-0.0446482760451574,-7,False,21,28
2021,4,UTEP,New Mexico,-0.1736570485287331,7,True,20,13
2021,4,Memphis,UTSA,0.1014040522304137,-3,False,28,31
2021,4,Western Kentucky,Indiana,0.2311355321217343,-2,False,31,33
2021,4,Syracuse,Liberty,-0.0422414638040819,3,True,24,21
2021,4,Virginia,Wake Forest,0.1113565493456073,-20,False,17,37
2021,4,Duke,Kansas,-0.044804223652473,19,True,52,33
2021,4,Florida State,Louisville,-0.1473168962179158,-8,False,23,31
2021,4,Georgia Tech,North Carolina,-0.1912922163496292,23,True,45,22
2021,4,NC State,Clemson,-0.2448422727441765,6,True,27,21
2021,4,Wisconsin,Notre Dame,-0.0051204530693792,-28,False,13,41
2021,4,Purdue,Illinois,0.0664901746623052,4,True,13,9
2021,4,Iowa,Colorado State,0.181781473669004,10,True,24,14
2021,4,Maryland,Kent State,-0.0268097045053687,21,True,37,16
2021,4,Michigan,Rutgers,0.0307900618090982,7,True,20,13
2021,4,Michigan State,Nebraska,0.1863051636097999,3,True,23,20
2021,4,Minnesota,Bowling Green,0.1722530511524846,-4,False,10,14
2021,4,Northwestern,Ohio,-0.0910485765536768,29,True,35,6
2021,4,Ohio State,Akron,0.3659557067652648,52,True,59,7
2021,4,UConn,Wyoming,-0.5699409500164467,-2,False,22,24
2021,4,Coastal Carolina,Massachusetts,0.1552094041921479,50,True,53,3
2021,4,Baylor,Iowa State,-0.1014054511983369,2,True,31,29
2021,4,Oklahoma,West Virginia,-0.0508169496588113,3,True,16,13
2021,4,Oklahoma State,Kansas State,-0.3253572044686922,11,True,31,20
2021,4,TCU,SMU,0.0766557200735748,-8,False,34,42
2021,4,Texas,Texas Tech,-0.2931077159663663,35,True,70,35
2021,4,Houston,Navy,0.4858757122863731,8,True,28,20
2021,4,BYU,South Florida,0.1327477075975571,8,True,35,27
2021,4,Tulsa,Arkansas State,0.0263376338839471,7,True,41,34
2021,4,Army,Miami (OH),0.2379193058013772,13,True,23,10
2021,4,Western Michigan,San José State,0.2952549782423718,20,True,23,3
2021,4,Ball State,Toledo,-0.3046224289944154,-10,False,12,22
2021,4,Eastern Michigan,Texas State,-0.0082926017210029,38,True,59,21
2021,4,Georgia Southern,Louisiana,-0.141852356473352,-8,False,20,28
2021,4,UL Monroe,Troy,-0.4341340447201199,13,True,29,16
2021,4,Washington,California,-0.1635793319558017,7,True,31,24
2021,4,Stanford,UCLA,-0.0856902991785898,-11,False,24,35
2021,4,Oregon,Arizona,-0.1002398340473276,22,True,41,19
2021,4,USC,Oregon State,-0.2229449628660624,-18,False,27,45
2021,4,Utah,Washington State,-0.0194262985260753,11,True,24,13
2021,4,Arizona State,Colorado,0.0067488993278751,22,True,35,13
2021,4,Utah State,Boise State,0.1618941332864246,-24,False,3,27
2021,4,Fresno State,UNLV,0.1525408986495136,8,True,38,30
2021,4,New Mexico State,Hawai'i,0.040093386627874,-20,False,21,41
2021,5,Alabama,Ole Miss,-0.0523623861652569,21,True,42,21
2021,5,Georgia,Arkansas,0.2766646516131446,37,True,37,0
2021,5,Kentucky,Florida,0.0122718049416331,7,True,20,13
2021,5,LSU,Auburn,0.124956304486591,-5,False,19,24
2021,5,Missouri,Tennessee,-0.0149053987340085,-38,False,24,62
2021,5,South Carolina,Troy,-0.1630006143873917,9,True,23,14
2021,5,Texas A&M,Mississippi State,-0.1056074793367819,-4,False,22,26
2021,5,Vanderbilt,UConn,0.0361392057539976,2,True,30,28
2021,5,Florida Atlantic,Florida International,-0.0308396686564308,37,True,58,21
2021,5,Middle Tennessee,Marshall,-0.365880169319789,6,True,34,28
2021,5,UTEP,Old Dominion,0.1511231483038628,7,True,28,21
2021,5,Rice,Southern Miss,-0.1382380155182361,5,True,24,19
2021,5,Illinois,Charlotte,-0.03890110815689,10,True,24,14
2021,5,NC State,Louisiana Tech,-0.0158470065666743,7,True,34,27
2021,5,UAB,Liberty,-0.2352916949841843,-24,False,12,36
2021,5,UTSA,UNLV,0.0771303699737101,7,True,24,17
2021,5,Michigan State,Western Kentucky,-0.1873265704052982,17,True,48,31
2021,5,Miami,Virginia,-0.1763535914095522,-2,False,28,30
2021,5,Clemson,Boston College,-0.0063136801675435,6,True,19,13
2021,5,Florida State,Syracuse,-0.0628620276041038,3,True,33,30
2021,5,Georgia Tech,Pittsburgh,-0.0918139311105219,-31,False,21,52
2021,5,North Carolina,Duke,0.1954698827512588,31,True,38,7
2021,5,Wake Forest,Louisville,0.0337003434557791,3,True,37,34
2021,5,Notre Dame,Cincinnati,0.0462481902157617,-11,False,13,24
2021,5,Penn State,Indiana,0.1743559719778729,24,True,24,0
2021,5,Maryland,Iowa,0.1105715271471824,-37,False,14,51
2021,5,Wisconsin,Michigan,-0.1813069634071493,-21,False,17,38
2021,5,Purdue,Minnesota,0.0668802210149924,-7,False,13,20
2021,5,Nebraska,Northwestern,-0.0113459806439989,49,True,56,7
2021,5,Rutgers,Ohio State,-0.1706470063921576,-39,False,13,52
2021,5,Massachusetts,Toledo,-0.0973264989963338,-38,False,7,45
2021,5,Iowa State,Kansas,0.2070220938883262,52,True,59,7
2021,5,Kansas State,Oklahoma,-0.0239074988350761,-6,False,31,37
2021,5,Oklahoma State,Baylor,-0.0671393800290222,10,True,24,14
2021,5,TCU,Texas,0.0524838728185161,-5,False,27,32
2021,5,West Virginia,Texas Tech,-0.0721940797717642,-3,False,20,23
2021,5,Tulsa,Houston,-0.0119115978293294,-35,False,10,45
2021,5,Navy,UCF,-0.3700842113151517,4,True,34,30
2021,5,East Carolina,Tulane,-0.2026471837396897,23,True,52,29
2021,5,Temple,Memphis,-0.452197265683717,3,True,34,31
2021,5,SMU,South Florida,0.1608974388067242,24,True,41,17
2021,5,Miami (OH),Central Michigan,0.0889394748100693,11,True,28,17
2021,5,Northern Illinois,Eastern Michigan,0.1028280739524164,7,True,27,20
2021,5,Ball State,Army,-0.3088763680652924,12,True,28,16
2021,5,Akron,Ohio,-0.1453258243620021,-17,False,17,34
2021,5,Buffalo,Western Michigan,-0.0485325373750619,-7,False,17,24
2021,5,Kent State,Bowling Green,0.3027566083511994,7,True,27,20
2021,5,Georgia State,App State,-0.1504938318058694,-29,False,16,45
2021,5,Georgia Southern,Arkansas State,-0.0471765472648751,26,True,59,33
2021,5,Coastal Carolina,UL Monroe,0.3598928015429883,53,True,59,6
2021,5,South Alabama,Louisiana,0.0459885944770755,-2,False,18,20
2021,5,California,Washington State,0.081390597923247,-15,False,6,21
2021,5,Stanford,Oregon,0.0391983138990873,7,True,31,24
2021,5,Oregon State,Washington,0.5098969861779936,3,True,27,24
2021,5,UCLA,Arizona State,0.2483191652742661,-19,False,23,42
2021,5,Colorado,USC,0.0100926240515002,-23,False,14,37
2021,5,Utah State,BYU,0.0417620475551977,-14,False,20,34
2021,5,New Mexico,Air Force,-0.0071969708544665,-28,False,10,38
2021,5,Boise State,Nevada,0.1515815886912206,-10,False,31,41
2021,5,Hawai'i,Fresno State,-0.1892677115528846,3,True,27,24
2021,5,San José State,New Mexico State,-0.2720303597678808,6,True,37,31
2021,6,Auburn,Georgia,-0.3593392653637304,-24,False,10,34
2021,6,Florida,Vanderbilt,0.2595428120086442,42,True,42,0
2021,6,Kentucky,LSU,0.0211460937134531,21,True,42,21
2021,6,Ole Miss,Arkansas,-0.0035863523222015,1,True,52,51
2021,6,Missouri,North Texas,0.3854510261122419,13,True,48,35
2021,6,Tennessee,South Carolina,0.3281534292342659,25,True,45,20
2021,6,Texas A&M,Alabama,-0.2242064374207389,3,True,41,38
2021,6,Florida International,Charlotte,-0.1024609842353953,-12,False,33,45
2021,6,UAB,Florida Atlantic,-0.1661439972175739,17,True,31,14
2021,6,Marshall,Old Dominion,0.249469829600271,7,True,20,13
2021,6,Southern Miss,UTEP,-0.0370056425408024,-13,False,13,26
2021,6,Western Kentucky,UTSA,0.125769397489076,-6,False,46,52
2021,6,Liberty,Middle Tennessee,0.4945160165183817,28,True,41,13
2021,6,Duke,Georgia Tech,-0.0810355960560676,-4,False,27,31
2021,6,Louisville,Virginia,-0.0014615854921237,-1,False,33,34
2021,6,North Carolina,Florida State,0.1390353394448755,-10,False,25,35
2021,6,Syracuse,Wake Forest,-0.0129185192807359,-3,False,37,40
2021,6,Virginia Tech,Notre Dame,-0.0006655501093393,-3,False,29,32
2021,6,Illinois,Wisconsin,0.0283485031012096,-24,False,0,24
2021,6,Iowa,Penn State,-0.0305600394716793,3,True,23,20
2021,6,Ohio State,Maryland,0.1539408143366319,49,True,66,17
2021,6,Nebraska,Michigan,-0.0732482193623205,-3,False,29,32
2021,6,Rutgers,Michigan State,-0.1574427491468607,-18,False,13,31
2021,6,Massachusetts,UConn,0.0533048379976453,14,True,27,13
2021,6,Baylor,West Virginia,-0.0130974733192347,25,True,45,20
2021,6,Texas,Oklahoma,-0.0879043721082326,-7,False,48,55
2021,6,Texas Tech,TCU,-0.19942979904539,-21,False,31,52
2021,6,Tulane,Houston,-0.2419056516432274,-18,False,22,40
2021,6,Cincinnati,Temple,0.3637274898962167,49,True,52,3
2021,6,UCF,East Carolina,0.3303041538593225,4,True,20,16
2021,6,Tulsa,Memphis,-0.1484764962644361,6,True,35,29
2021,6,Navy,SMU,-0.1292024482223445,-7,False,24,31
2021,6,Eastern Michigan,Miami (OH),-0.0710759673565472,1,True,13,12
2021,6,Western Michigan,Ball State,0.0683120242136622,-25,False,20,45
2021,6,Toledo,Northern Illinois,-0.0145175442598021,-2,False,20,22
2021,6,Kent State,Buffalo,0.0871394838791655,10,True,48,38
2021,6,Bowling Green,Akron,-0.074130434632902,-15,False,20,35
2021,6,Ohio,Central Michigan,0.0582926316966565,-3,False,27,30
2021,6,Arkansas State,Coastal Carolina,-0.4135636574673095,-32,False,20,52
2021,6,Troy,Georgia Southern,-0.0940791216583087,3,True,27,24
2021,6,UL Monroe,Georgia State,-0.1533950557233702,-34,False,21,55
2021,6,Texas State,South Alabama,-0.2459547859638548,2,True,33,31
2021,6,Arizona State,Stanford,0.0234299290645613,18,True,28,10
2021,6,Washington State,Oregon State,-0.3587222117178626,7,True,31,24
2021,6,Arizona,UCLA,-0.244607372734553,-18,False,16,34
2021,6,USC,Utah,0.0682741691145033,-16,False,26,42
2021,6,BYU,Boise State,0.0480922537267551,-9,False,17,26
2021,6,Air Force,Wyoming,-0.1257700772034842,10,True,24,14
2021,6,Colorado State,San José State,0.1498575333531076,18,True,32,14
2021,6,San Diego State,New Mexico,-0.0408457917014317,24,True,31,7
2021,6,Nevada,New Mexico State,-0.1283753344558669,27,True,55,28
2021,7,Arkansas,Auburn,0.0066058238314389,-15,False,23,38
2021,7,Georgia,Kentucky,0.3249792642908893,17,True,30,13
2021,7,LSU,Florida,-0.099402041712063,7,True,49,42
2021,7,Mississippi State,Alabama,-0.1262541158412883,-40,False,9,49
2021,7,Missouri,Texas A&M,0.0705725463079231,-21,False,14,35
2021,7,South Carolina,Vanderbilt,0.0576908466483926,1,True,21,20
2021,7,Tennessee,Ole Miss,-0.016774975070248,-5,False,26,31
2021,7,UTEP,Louisiana Tech,0.0057346361114989,16,True,19,3
2021,7,North Texas,Marshall,-0.2011186390872169,-28,False,21,49
2021,7,Old Dominion,Western Kentucky,-0.4385265477725401,-23,False,20,43
2021,7,UTSA,Rice,0.1937977663850177,45,True,45,0
2021,7,Southern Miss,UAB,-0.0436558591416765,-34,False,0,34
2021,7,Syracuse,Clemson,-0.004733808193436,-3,False,14,17
2021,7,Boston College,NC State,-0.0642384364188125,-26,False,7,33
2021,7,North Carolina,Miami,0.0695373993872326,3,True,45,42
2021,7,Virginia,Duke,0.0713458427018425,48,True,48,0
2021,7,Virginia Tech,Pittsburgh,-0.1757147067041335,-21,False,7,28
2021,7,Indiana,Michigan State,-0.3176217863814541,-5,False,15,20
2021,7,Iowa,Purdue,0.0405471144992799,-17,False,7,24
2021,7,Minnesota,Nebraska,-0.0730894118552516,7,True,30,23
2021,7,Northwestern,Rutgers,0.2677653169619214,14,True,21,7
2021,7,Wisconsin,Army,-0.0637773432147594,6,True,20,14
2021,7,UL Monroe,Liberty,-0.4597126085625916,3,True,31,28
2021,7,Baylor,BYU,0.0701930664739664,14,True,38,24
2021,7,Kansas,Texas Tech,0.0214239724914328,-27,False,14,41
2021,7,Kansas State,Iowa State,-0.1342088923834322,-13,False,20,33
2021,7,Oklahoma,TCU,-0.1295483987308487,21,True,52,31
2021,7,Texas,Oklahoma State,0.0248344543322684,-8,False,24,32
2021,7,Memphis,Navy,0.1628643734860131,18,True,35,17
2021,7,Cincinnati,UCF,0.1344583959996144,35,True,56,21
2021,7,South Florida,Tulsa,-0.1197768465383857,-1,False,31,32
2021,7,Miami (OH),Akron,-0.0717702153939329,13,True,34,21
2021,7,Eastern Michigan,Ball State,-0.164312757203899,-7,False,31,38
2021,7,Central Michigan,Toledo,-0.2075447932935446,3,True,26,23
2021,7,Northern Illinois,Bowling Green,0.2322540238104846,8,True,34,26
2021,7,Buffalo,Ohio,0.1353360489383848,1,True,27,26
2021,7,Western Michigan,Kent State,-0.1118222638338043,33,True,64,31
2021,7,Louisiana,App State,-0.0745265418968814,28,True,41,13
2021,7,South Alabama,Georgia Southern,-0.0037916089758201,27,True,41,14
2021,7,Texas State,Troy,-0.0800135092661541,-3,False,28,31
2021,7,Oregon,California,0.1594883006786853,7,True,24,17
2021,7,Washington State,Stanford,-0.0987409131239839,3,True,34,31
2021,7,Washington,UCLA,-0.2177984906853374,-7,False,17,24
2021,7,Colorado,Arizona,-0.1647512933783124,34,True,34,0
2021,7,Utah,Arizona State,-0.0702440610275154,14,True,35,21
2021,7,Boise State,Air Force,0.0365681040346115,-7,False,17,24
2021,7,New Mexico,Colorado State,-0.0101586996032554,-29,False,7,36
2021,7,UNLV,Utah State,-0.2735046128702132,-4,False,24,28
2021,7,Wyoming,Fresno State,0.062659831165567,-17,False,0,17
2021,7,Nevada,Hawai'i,0.132972047067258,17,True,34,17
2021,7,San José State,San Diego State,-0.1645226525171121,-6,False,13,19
2021,8,Alabama,Tennessee,-0.027101088890703,28,True,52,24
2021,8,Ole Miss,LSU,0.0571393276936221,14,True,31,17
2021,8,Texas A&M,South Carolina,0.138066074041701,30,True,44,14
2021,8,Vanderbilt,Mississippi State,-0.1365332340988242,-39,False,6,45
