season,week,home_team,away_team,spread_line,total_line,home_score,away_score
2021,1,Arizona State,Southern Utah,44.5,56.5,41,14
2021,1,New Mexico,Houston Christian,25.5,66.0,27,17
2021,1,UNLV,Eastern Washington,-2.0,66.0,33,35
2021,1,Iowa State,Northern Iowa,28.5,50.0,16,10
2021,1,USC,San José State,14.0,61.0,30,7
2021,1,Texas,Louisiana,8.5,58.0,38,18
2021,1,Navy,Marshall,-3.0,46.5,7,49
2021,1,Clemson,Georgia,2.5,51.5,3,10
2021,1,SMU,Abilene Christian,32.0,66.0,56,9
2021,1,Toledo,Norfolk State,39.5,56.0,49,10
2021,1,Florida,Florida Atlantic,23.5,52.0,35,14
2021,1,Kentucky,UL Monroe,31.0,54.0,45,10
2021,1,Boston College,Colgate,42.5,56.5,51,0
2021,1,Michigan,Western Michigan,16.5,65.5,47,14
2021,1,Air Force,Lafayette,40.5,49.5,35,14
2021,1,Wyoming,Montana State,19.0,45.0,19,16
2021,1,Ohio,Syracuse,2.0,55.5,9,29
2021,1,Purdue,Oregon State,7.0,68.0,30,21
2021,1,Houston,Texas Tech,2.5,63.0,21,38
2021,1,Texas State,Baylor,-13.5,52.5,20,29
2021,1,Memphis,Nicholls,22.5,68.0,42,17
2021,1,Arkansas State,Central Arkansas,13.5,64.0,40,21
2021,1,Troy,Southern,25.0,55.0,55,3
2021,1,North Texas,Northwestern State,20.0,66.0,44,14
2021,1,Illinois,UTSA,4.5,52.0,30,37
2021,1,California,Nevada,3.0,52.5,17,22
2021,1,Florida State,Notre Dame,-7.5,54.0,38,41
2021,1,Ole Miss,Louisville,9.0,74.5,43,24
2021,1,San Diego State,New Mexico State,31.0,50.5,28,10
2021,1,Washington State,Utah State,17.0,66.5,23,26
2021,1,Minnesota,Ohio State,-14.0,62.0,31,45
2021,1,Coastal Carolina,The Citadel,33.5,54.5,52,14
2021,1,Ball State,Western Illinois,31.0,58.5,31,21
2021,1,NC State,South Florida,19.0,58.0,45,0
2021,1,App State,East Carolina,9.0,55.5,33,19
2021,1,Tulsa,UC Davis,22.0,54.5,17,19
2021,1,Tennessee,Bowling Green,37.0,60.5,38,6
2021,1,Western Kentucky,UT Martin,24.0,58.5,59,21
2021,1,Rutgers,Temple,14.0,52.0,61,14
2021,1,Buffalo,Wagner,43.5,54.5,69,7
2021,1,UCF,Boise State,6.5,67.0,36,31
2021,1,Florida International,Long Island University,35.0,49.0,48,10
2021,1,Miami,Alabama,-19.5,61.5,13,44
2021,1,Oklahoma,Tulane,31.0,66.5,40,35
2021,1,Cincinnati,Miami (OH),22.5,49.0,49,14
