season,team,ret_ppa_total,ret_ppa_pass,ret_usage,ret_pass_usage,sp_overall,sp_offense,sp_defense,portal_net_count,portal_net_rating
2021,Air Force,127.1,35.0,0.724,1.0,7.4,30.0,22.0,-2.0,0.0
2021,Akron,27.7,-19.8,0.805,0.902,-23.1,20.3,41.7,-11.0,0.0
2021,Alabama,141.0,16.7,0.26,0.072,26.0,40.9,15.6,-7.0,-4.77
2021,App State,274.6,12.1,0.584,0.03,10.3,32.0,23.5,3.0,0.8
2021,Arizona,40.2,-15.2,0.478,0.427,-12.6,19.2,32.3,-2.0,4.03
2021,Arizona State,127.9,29.9,0.966,1.0,11.8,33.5,20.9,-11.0,3.33
2021,Arkansas,157.6,-7.7,0.423,0.019,13.8,34.3,21.3,-11.0,-0.050000000000000266
2021,Arkansas State,358.4,198.4,0.661,0.992,-17.9,21.0,40.0,8.0,-0.019999999999999796
2021,Army,161.0,13.6,0.858,1.0,4.7,28.8,23.5,-2.0,0.0
2021,Auburn,169.5,71.6,0.714,0.997,11.0,30.2,19.8,-12.0,0.9100000000000001
2021,Ball State,234.0,95.9,0.838,1.0,-11.2,21.6,33.7,-7.0,0.0
2021,Baylor,92.8,-3.2,0.45,0.031,15.6,33.1,17.1,-2.0,1.7700000000000002
2021,Boise State,176.5,67.1,0.917,0.871,9.4,28.4,20.8,-1.0,0.0
2021,Boston College,316.3,156.3,0.801,1.0,0.9,27.0,26.5,-9.0,1.65
2021,Bowling Green,5.3,-19.7,0.582,1.0,-12.4,17.1,29.8,-9.0,0.0
2021,Buffalo,130.8,66.7,0.602,1.0,-9.5,24.6,33.1,-14.0,-1.72
2021,BYU,262.4,18.3,0.557,0.13,8.9,37.2,27.9,2.0,0.9
2021,California,54.7,7.2,0.904,0.993,3.4,27.5,25.0,-7.0,0.030000000000000027
2021,Central Michigan,120.4,24.7,0.768,0.618,-1.0,28.5,29.3,-15.0,-0.029999999999999916
2021,Charlotte,120.7,39.0,0.815,1.0,-13.7,27.6,41.2,-1.0,-0.8400000000000001
2021,Cincinnati,314.8,111.0,0.735,0.952,21.2,37.5,15.9,-7.0,0.84
2021,Clemson,145.0,42.5,0.351,0.308,18.7,28.3,11.6,-8.0,-5.34
2021,Coastal Carolina,409.3,166.5,0.72,0.87,13.2,39.5,26.1,-7.0,0.0
2021,Colorado,102.3,5.6,0.547,0.06,-10.0,18.8,29.6,-7.0,-0.7800000000000002
2021,Colorado State,26.2,-3.5,0.69,0.32,-2.4,23.3,25.9,-7.0,0.04999999999999982
2021,Duke,159.7,3.2,0.379,0.086,-13.5,23.4,36.3,-1.0,-1.73
2021,East Carolina,206.2,56.8,1.0,1.0,0.5,27.4,28.3,-3.0,-0.8
2021,Eastern Michigan,194.3,74.8,0.921,1.0,-7.8,27.2,37.2,-9.0,0.0
2021,Florida,167.5,11.0,0.41,0.073,11.0,35.0,23.2,-3.0,1.0399999999999996
2021,Florida Atlantic,137.8,21.0,0.94,1.0,-5.2,23.1,28.4,-2.0,2.43
2021,Florida International,25.6,-16.2,0.699,0.568,-21.6,19.9,40.2,,
2021,Florida State,165.7,-3.5,0.735,0.739,7.6,29.8,23.0,-5.0,1.7999999999999998
2021,Fresno State,230.7,69.5,0.96,0.941,10.8,34.7,24.2,-5.0,1.66
2021,Georgia,304.6,96.9,0.923,0.9,32.0,41.4,10.3,-10.0,-3.8600000000000003
2021,Georgia Southern,120.5,2.5,0.535,0.165,-15.3,18.4,34.0,-10.0,-1.72
2021,Georgia State,269.6,69.2,0.981,1.0,1.8,27.5,26.7,-4.0,-0.07000000000000006
2021,Georgia Tech,189.8,26.9,0.901,0.944,-6.7,27.0,32.4,-9.0,1.79
2021,Hawai'i,193.6,65.8,0.685,0.994,-2.3,27.1,30.1,-4.0,0.0
2021,Houston,128.9,42.6,0.723,0.964,10.9,31.5,20.0,-2.0,3.31
2021,Illinois,124.0,24.5,0.921,1.0,4.3,23.2,21.8,-8.0,1.6199999999999997
2021,Indiana,147.5,56.5,0.678,1.0,-7.8,20.4,27.3,-2.0,2.5
2021,Iowa,118.5,47.2,0.765,0.996,11.4,23.6,14.4,-9.0,0.84
2021,Iowa State,384.2,128.6,0.904,0.995,14.3,33.8,20.2,-5.0,0.020000000000000018
2021,Kansas,43.3,-14.7,0.909,0.966,-19.7,22.3,40.6,-14.0,-1.68
2021,Kansas State,177.4,63.8,0.785,0.934,14.2,33.5,19.0,-7.0,1.62
2021,Kent State,230.2,82.3,0.911,1.0,-6.4,32.3,36.9,-7.0,0.0
2021,Kentucky,38.6,-13.9,0.423,0.198,13.4,35.1,22.3,-3.0,5.9399999999999995
2021,Liberty,380.7,109.5,0.831,0.883,8.4,32.1,23.1,-3.0,0.84
2021,Louisiana,238.2,83.7,0.65,1.0,8.7,30.3,21.2,2.0,2.42
2021,Louisiana Tech,125.1,23.4,0.619,0.992,-11.6,23.6,34.4,-2.0,0.8200000000000002
2021,Louisville,278.6,104.9,0.847,0.985,7.8,34.9,26.6,-10.0,0.1499999999999999
2021,LSU,200.4,72.8,0.668,0.661,4.1,28.0,25.6,-12.0,-7.630000000000001
2021,Marshall,175.8,51.5,0.728,0.997,8.0,32.8,23.5,-7.0,-0.15999999999999992
2021,Maryland,120.3,36.3,0.675,0.913,6.2,34.8,27.4,-14.0,-3.3000000000000007
2021,Massachusetts,-9.3,-0.1,0.547,0.45,-29.3,16.1,43.9,-10.0,0.0
2021,Memphis,143.8,0.3,0.494,0.002,1.0,29.6,27.9,-13.0,1.4699999999999998
2021,Miami,330.5,126.7,0.882,0.878,10.8,34.8,25.0,-2.0,2.6700000000000004
2021,Miami (OH),93.5,40.5,0.92,1.0,1.5,29.3,26.8,-8.0,-0.83
