game_id,season,week,game_date,home_team,away_team,home_score,away_score
401281942,2021,1,2021-09-04T19:30:00.000Z,Miami,Alabama,13,44
401281943,2021,1,2021-09-04T18:00:00.000Z,Arkansas,Rice,0,0
401281944,2021,1,2021-09-04T23:00:00.000Z,Auburn,Akron,60,10
401281945,2021,1,2021-09-04T23:30:00.000Z,Florida,Florida Atlantic,35,14
401281946,2021,1,2021-09-04T23:30:00.000Z,Clemson,Georgia,3,10
401281947,2021,1,2021-09-04T16:00:00.000Z,Kentucky,UL Monroe,45,10
401281948,2021,1,2021-09-05T00:30:00.000Z,UCLA,LSU,38,27
401281949,2021,1,2021-09-04T20:00:00.000Z,Mississippi State,Louisiana Tech,35,34
401281950,2021,1,2021-09-04T20:00:00.000Z,Missouri,Central Michigan,34,24
401281952,2021,1,2021-09-03T00:00:00.000Z,Tennessee,Bowling Green,38,6
401282049,2021,1,2021-08-29T01:30:00.000Z,New Mexico State,UTEP,3,30
401282052,2021,1,2021-09-03T23:00:00.000Z,Charlotte,Duke,31,28
401282053,2021,1,2021-09-05T00:00:00.000Z,Texas A&M,Kent State,41,10
401282055,2021,1,2021-09-07T00:00:00.000Z,Ole Miss,Louisville,43,24
401282057,2021,2,2021-09-11T23:00:00.000Z,Arkansas,Texas,40,21
401282059,2021,2,2021-09-11T17:00:00.000Z,South Florida,Florida,20,42
401282060,2021,2,2021-09-11T19:30:00.000Z,Georgia,UAB,56,7
401282061,2021,2,2021-09-11T23:30:00.000Z,Kentucky,Missouri,35,28
401282064,2021,2,2021-09-11T23:00:00.000Z,Mississippi State,NC State,24,10
401282065,2021,2,2021-09-11T16:00:00.000Z,East Carolina,South Carolina,17,20
401282066,2021,2,2021-09-11T16:00:00.000Z,Tennessee,Pittsburgh,34,41
401282067,2021,2,2021-09-11T19:30:00.000Z,Colorado,Texas A&M,7,10
401282068,2021,2,2021-09-12T02:00:00.000Z,Colorado State,Vanderbilt,21,24
401282069,2021,3,2021-09-18T20:00:00.000Z,Arkansas,Georgia Southern,45,10
401282070,2021,3,2021-09-18T23:30:00.000Z,Penn State,Auburn,28,20
401282071,2021,3,2021-09-18T19:30:00.000Z,Florida,Alabama,29,31
401282072,2021,3,2021-09-18T23:00:00.000Z,Georgia,South Carolina,40,13
401282074,2021,3,2021-09-18T23:30:00.000Z,LSU,Central Michigan,49,21
401282075,2021,3,2021-09-19T00:00:00.000Z,Ole Miss,Tulane,61,21
401282076,2021,3,2021-09-18T20:00:00.000Z,Memphis,Mississippi State,31,29
401282079,2021,3,2021-09-18T16:00:00.000Z,Texas A&M,New Mexico,34,0
401282080,2021,3,2021-09-19T00:00:00.000Z,Vanderbilt,Stanford,17,41
401282081,2021,4,2021-09-25T23:30:00.000Z,Alabama,Southern Miss,63,14
401282082,2021,4,2021-09-25T19:30:00.000Z,Arkansas,Texas A&M,20,10
401282083,2021,4,2021-09-25T20:00:00.000Z,Auburn,Georgia State,34,24
401282084,2021,4,2021-09-25T23:00:00.000Z,Florida,Tennessee,38,14
401282085,2021,4,2021-09-25T16:00:00.000Z,Mississippi State,LSU,25,28
401282086,2021,4,2021-09-25T16:00:00.000Z,Boston College,Missouri,41,34
401282087,2021,4,2021-09-25T23:00:00.000Z,South Carolina,Kentucky,10,16
401282088,2021,4,2021-09-25T16:00:00.000Z,Vanderbilt,Georgia,0,62
401282089,2021,5,2021-10-02T19:30:00.000Z,Alabama,Ole Miss,42,21
401282090,2021,5,2021-10-02T16:00:00.000Z,Georgia,Arkansas,37,0
401282091,2021,5,2021-10-02T22:00:00.000Z,Kentucky,Florida,20,13
401282092,2021,5,2021-10-03T01:00:00.000Z,LSU,Auburn,19,24
401282093,2021,5,2021-10-02T16:00:00.000Z,Missouri,Tennessee,24,62
401282094,2021,5,2021-10-02T19:30:00.000Z,South Carolina,Troy,23,14
401282095,2021,5,2021-10-02T23:00:00.000Z,Texas A&M,Mississippi State,22,26
401282096,2021,5,2021-10-02T23:30:00.000Z,Vanderbilt,UConn,27,28
401282097,2021,6,2021-10-09T19:30:00.000Z,Auburn,Georgia,10,34
401282098,2021,6,2021-10-09T16:00:00.000Z,Florida,Vanderbilt,42,0
401282099,2021,6,2021-10-09T23:30:00.000Z,Kentucky,LSU,42,21
401282100,2021,6,2021-10-09T16:00:00.000Z,Ole Miss,Arkansas,52,51
401282101,2021,6,2021-10-09T20:00:00.000Z,Missouri,North Texas,0,0
401282102,2021,6,2021-10-09T16:00:00.000Z,Tennessee,South Carolina,45,20
401282103,2021,6,2021-10-10T00:00:00.000Z,Texas A&M,Alabama,41,38
401282104,2021,7,2021-10-16T16:00:00.000Z,Arkansas,Auburn,23,38
401282105,2021,7,2021-10-16T19:30:00.000Z,Georgia,Kentucky,30,13
401282106,2021,7,2021-10-16T16:00:00.000Z,LSU,Florida,49,42
401282107,2021,7,2021-10-16T23:00:00.000Z,Mississippi State,Alabama,9,49
401282108,2021,7,2021-10-16T16:00:00.000Z,Missouri,Texas A&M,14,35
401282109,2021,7,2021-10-16T20:00:00.000Z,South Carolina,Vanderbilt,21,20
401282110,2021,7,2021-10-16T23:30:00.000Z,Tennessee,Ole Miss,26,31
401282111,2021,8,2021-10-23T23:00:00.000Z,Alabama,Tennessee,52,24
401282113,2021,8,2021-10-23T19:30:00.000Z,Ole Miss,LSU,31,17
401282114,2021,8,2021-10-23T23:30:00.000Z,Texas A&M,South Carolina,44,14
401282115,2021,8,2021-10-23T20:00:00.000Z,Vanderbilt,Mississippi State,6,45
401282116,2021,9,2021-10-30T23:00:00.000Z,Auburn,Ole Miss,31,20
401282117,2021,9,2021-10-30T19:30:00.000Z,Florida,Georgia,7,34
401282118,2021,9,2021-10-30T23:00:00.000Z,Mississippi State,Kentucky,31,17
401282119,2021,9,2021-10-30T19:00:00.000Z,Vanderbilt,Missouri,28,36
401282120,2021,10,2021-11-06T23:00:00.000Z,Alabama,LSU,20,14
401282121,2021,10,2021-11-06T20:00:00.000Z,Arkansas,Mississippi State,29,28
401282122,2021,10,2021-11-06T16:00:00.000Z,Georgia,Missouri,43,6
401282123,2021,10,2021-11-06T23:00:00.000Z,Kentucky,Tennessee,42,45
401282124,2021,10,2021-11-06T16:00:00.000Z,Ole Miss,Liberty,27,14
401282125,2021,10,2021-11-06T23:30:00.000Z,South Carolina,Florida,40,17
401282126,2021,10,2021-11-06T19:30:00.000Z,Texas A&M,Auburn,20,3
401282127,2021,11,2021-11-13T17:00:00.000Z,Alabama,New Mexico State,59,3
401282128,2021,11,2021-11-13T17:00:00.000Z,Auburn,Mississippi State,34,43
401282130,2021,11,2021-11-14T00:30:00.000Z,LSU,Arkansas,13,13
401282131,2021,11,2021-11-14T00:00:00.000Z,Ole Miss,Texas A&M,29,19
401282132,2021,11,2021-11-13T21:00:00.000Z,Missouri,South Carolina,31,28
401282133,2021,11,2021-11-13T20:30:00.000Z,Tennessee,Georgia,17,41
401282134,2021,11,2021-11-14T00:00:00.000Z,Vanderbilt,Kentucky,17,34
401282135,2021,12,2021-11-20T20:30:00.000Z,Alabama,Arkansas,42,35
401282137,2021,12,2021-11-20T17:00:00.000Z,Kentucky,New Mexico State,56,16
401282138,2021,12,2021-11-21T02:00:00.000Z,LSU,UL Monroe,27,14
401282139,2021,12,2021-11-21T00:30:00.000Z,Ole Miss,Vanderbilt,31,17
401282141,2021,12,2021-11-20T21:00:00.000Z,Missouri,Florida,16,23
401282142,2021,12,2021-11-21T00:00:00.000Z,South Carolina,Auburn,21,17
401282143,2021,12,2021-11-21T00:30:00.000Z,Tennessee,South Alabama,60,14
401282145,2021,13,2021-11-26T20:30:00.000Z,Arkansas,Missouri,34,17
401282146,2021,13,2021-11-27T20:30:00.000Z,Auburn,Alabama,22,22
401282147,2021,13,2021-11-27T17:00:00.000Z,Florida,Florida State,24,21
401282148,2021,13,2021-11-27T17:00:00.000Z,Georgia Tech,Georgia,0,45
401282149,2021,13,2021-11-28T00:30:00.000Z,Louisville,Kentucky,21,52
401282150,2021,13,2021-11-28T00:00:00.000Z,LSU,Texas A&M,27,24
401282151,2021,13,2021-11-26T00:30:00.000Z,Mississippi State,Ole Miss,21,31
401282152,2021,13,2021-11-28T00:30:00.000Z,South Carolina,Clemson,0,30
401282153,2021,13,2021-11-27T20:45:00.000Z,Tennessee,Vanderbilt,45,21
401282154,2021,14,2021-12-04T21:00:00.000Z,Alabama,Georgia,41,24
