season,date,game_key,pitcher,team,opponent,started,finished,outs,pitches,runs,er,h,hr,bb,so
2021,2021-04-01,ANA202104010,bumma001,CHA,ANA,0,0,2,28,2,0,2,0,1,1
2021,2021-04-01,ANA202104010,bundd001,ANA,CHA,1,0,18,88,3,3,6,1,1,6
2021,2021-04-01,ANA202104010,fostm001,CHA,ANA,0,1,1,5,0,0,0,0,0,0
2021,2021-04-01,ANA202104010,gioll001,CHA,ANA,1,0,16,87,2,2,2,1,2,8
2021,2021-04-01,ANA202104010,heuec001,CHA,ANA,0,0,5,20,0,0,2,0,1,1
2021,2021-04-01,ANA202104010,igler001,ANA,CHA,0,1,3,8,0,0,0,0,0,2
2021,2021-04-01,ANA202104010,mayem001,ANA,CHA,0,0,3,17,0,0,0,0,1,1
2021,2021-04-01,ANA202104010,slega001,ANA,CHA,0,0,3,12,0,0,1,0,0,1
2021,2021-04-01,CHN202104010,adamj002,CHN,PIT,0,0,3,38,0,0,1,0,2,1
2021,2021-04-01,CHN202104010,bednd001,PIT,CHN,0,0,3,12,0,0,0,0,0,2
2021,2021-04-01,CHN202104010,brotr001,CHN,PIT,0,0,2,16,1,1,1,0,1,1
2021,2021-04-01,CHN202104010,chafa001,CHN,PIT,0,0,2,14,0,0,1,0,1,0
2021,2021-04-01,CHN202104010,hendk001,CHN,PIT,1,0,9,63,3,3,4,1,3,4
2021,2021-04-01,CHN202104010,holmc001,PIT,CHN,0,0,3,12,0,0,0,0,0,1
2021,2021-04-01,CHN202104010,howas002,PIT,CHN,0,0,3,13,0,0,0,0,0,3
2021,2021-04-01,CHN202104010,kuhlc001,PIT,CHN,1,0,9,63,2,1,1,0,3,2
2021,2021-04-01,CHN202104010,milla003,CHN,PIT,0,1,3,17,0,0,0,0,0,1
2021,2021-04-01,CHN202104010,rodrr008,PIT,CHN,0,1,3,14,0,0,0,0,1,2
2021,2021-04-01,CHN202104010,strac001,PIT,CHN,0,0,3,19,1,1,1,0,0,0
2021,2021-04-01,CHN202104010,teper001,CHN,PIT,0,0,1,12,0,0,0,0,1,1
2021,2021-04-01,CHN202104010,unded001,PIT,CHN,0,0,3,18,0,0,0,0,0,3
2021,2021-04-01,CHN202104010,winkd001,CHN,PIT,0,0,5,31,1,1,1,0,1,2
2021,2021-04-01,CHN202104010,workb001,CHN,PIT,0,0,2,23,0,0,1,0,2,0
2021,2021-04-01,CIN202104010,bedrc001,CIN,SLN,0,0,2,9,1,1,1,1,0,1
2021,2021-04-01,CIN202104010,cabrg001,SLN,CIN,0,0,3,18,0,0,0,0,2,0
2021,2021-04-01,CIN202104010,castl003,CIN,SLN,1,0,10,73,10,8,8,1,2,0
2021,2021-04-01,CIN202104010,dools001,CIN,SLN,0,1,3,15,0,0,1,0,0,2
2021,2021-04-01,CIN202104010,flahj002,SLN,CIN,1,0,13,94,6,6,6,2,2,4
2021,2021-04-01,CIN202104010,fulmc001,CIN,SLN,0,0,6,23,0,0,0,0,0,2
2021,2021-04-01,CIN202104010,gallg001,SLN,CIN,0,0,3,19,0,0,0,0,0,2
2021,2021-04-01,CIN202104010,helsr001,SLN,CIN,0,0,3,17,0,0,3,0,0,1
2021,2021-04-01,CIN202104010,reyea004,SLN,CIN,0,1,3,21,0,0,1,0,1,1
