season,date,game_key,opponent,team,pitcher,started,finished,outs,pitches,runs,er,h,hr,bb,so
2026,2026-03-25,SFN202603250,NYA,SFN,webbl001,1,0,15,86.0,7,6,9,0,1,7
2026,2026-03-25,SFN202603250,NYA,SFN,winnk001,0,0,3,19.0,0,0,0,0,1,2
2026,2026-03-25,SFN202603250,NYA,SFN,brubj001,0,0,6,22.0,0,0,1,0,1,2
2026,2026-03-25,SFN202603250,NYA,SFN,kilic001,0,1,3,10.0,0,0,0,0,0,1
2026,2026-03-25,SFN202603250,SFN,NYA,friem001,1,0,19,86.0,0,0,2,0,1,4
2026,2026-03-25,SFN202603250,SFN,NYA,birdj001,0,0,2,7.0,0,0,0,0,0,1
2026,2026-03-25,SFN202603250,SFN,NYA,headb001,0,0,3,15.0,0,0,1,0,1,1
2026,2026-03-25,SFN202603250,SFN,NYA,dovac001,0,1,3,13.0,0,0,0,0,0,0
2026,2026-03-26,BAL202603260,MIN,BAL,roget003,1,0,21,88.0,0,0,3,0,4,5
2026,2026-03-26,BAL202603260,MIN,BAL,wellt003,0,0,3,14.0,1,1,1,0,0,1
2026,2026-03-26,BAL202603260,MIN,BAL,helsr001,0,1,3,19.0,0,0,1,0,0,3
2026,2026-03-26,BAL202603260,BAL,MIN,ryanj002,1,0,16,85.0,0,0,1,0,2,7
2026,2026-03-26,BAL202603260,BAL,MIN,fundk001,0,0,2,17.0,1,1,1,0,1,0
2026,2026-03-26,BAL202603260,BAL,MIN,topaj001,0,0,3,18.0,1,1,2,0,0,0
2026,2026-03-26,BAL202603260,BAL,MIN,roget001,0,1,3,10.0,0,0,1,0,0,1
2026,2026-03-26,CHN202603260,WAS,CHN,boydm001,1,0,11,63.0,6,6,6,1,1,7
2026,2026-03-26,CHN202603260,WAS,CHN,browb006,0,0,10,49.0,2,2,3,1,1,3
2026,2026-03-26,CHN202603260,WAS,CHN,milnh001,0,0,3,11.0,0,0,1,0,0,0
2026,2026-03-26,CHN202603260,WAS,CHN,webbj002,0,1,3,15.0,2,0,1,1,0,2
2026,2026-03-26,CHN202603260,CHN,WAS,cavac001,1,0,11,75.0,3,2,3,0,3,5
2026,2026-03-26,CHN202603260,CHN,WAS,poulp001,0,0,3,24.0,0,0,1,0,1,0
2026,2026-03-26,CHN202603260,CHN,WAS,lordb001,0,0,7,47.0,1,1,4,0,0,1
2026,2026-03-26,CHN202603260,CHN,WAS,beetc001,0,0,3,24.0,0,0,0,0,2,1
2026,2026-03-26,CHN202603260,CHN,WAS,perec004,0,1,3,12.0,0,0,0,0,0,2
2026,2026-03-26,CIN202603260,BOS,CIN,abboa001,1,0,18,83.0,0,0,7,0,1,4
2026,2026-03-26,CIN202603260,BOS,CIN,johnp001,0,0,1,9.0,1,1,2,0,0,0
2026,2026-03-26,CIN202603260,BOS,CIN,molls001,0,0,3,6.0,0,0,0,0,0,1
2026,2026-03-26,CIN202603260,BOS,CIN,ashcg001,0,0,2,14.0,0,0,0,0,1,1
2026,2026-03-26,CIN202603260,BOS,CIN,philc001,0,0,2,16.0,2,2,2,0,1,1
2026,2026-03-26,CIN202603260,BOS,CIN,burkb001,0,1,1,3.0,0,0,1,0,0,0
2026,2026-03-26,CIN202603260,CIN,BOS,crocg001,1,0,18,80.0,0,0,3,0,2,8
2026,2026-03-26,CIN202603260,CIN,BOS,slatj002,0,0,3,17.0,0,0,0,0,1,2
2026,2026-03-26,CIN202603260,CIN,BOS,whitg002,0,0,3,18.0,0,0,1,0,0,2
2026,2026-03-26,CIN202603260,CIN,BOS,chapa001,0,1,3,11.0,0,0,0,0,0,0
2026,2026-03-26,HOU202603260,ANA,HOU,browh001,1,0,14,102.0,0,0,4,0,4,9
2026,2026-03-26,HOU202603260,ANA,HOU,bluba001,0,0,7,41.0,1,1,2,1,0,3
2026,2026-03-26,HOU202603260,ANA,HOU,kingb001,0,0,3,17.0,1,1,2,0,0,1
2026,2026-03-26,HOU202603260,ANA,HOU,roa-c001,0,1,3,33.0,1,1,1,1,2,1
2026,2026-03-26,HOU202603260,HOU,ANA,sorij002,1,0,18,91.0,0,0,2,0,4,7
2026,2026-03-26,HOU202603260,HOU,ANA,mlbam700712,0,0,2,14.0,0,0,1,0,1,1
2026,2026-03-26,HOU202603260,HOU,ANA,silsc001,0,0,1,1.0,0,0,0,0,0,0
2026,2026-03-26,HOU202603260,HOU,ANA,pomed001,0,0,3,12.0,0,0,0,0,0,0
2026,2026-03-26,HOU202603260,HOU,ANA,romaj004,0,1,3,12.0,0,0,0,0,1,1
2026,2026-03-26,LAN202603260,ARI,LAN,yamay001,1,0,18,95.0,2,2,5,1,0,6
2026,2026-03-26,LAN202603260,ARI,LAN,treib001,0,0,3,15.0,0,0,1,0,0,1
2026,2026-03-26,LAN202603260,ARI,LAN,kleiw001,0,0,3,9.0,0,0,0,0,0,1
2026,2026-03-26,LAN202603260,ARI,LAN,scott003,0,1,3,8.0,0,0,0,0,0,0
2026,2026-03-26,LAN202603260,LAN,ARI,gallz001,1,0,12,76.0,4,4,5,1,2,2
2026,2026-03-26,LAN202603260,LAN,ARI,morij002,0,0,3,17.0,0,0,1,0,1,1
2026,2026-03-26,LAN202603260,LAN,ARI,thomr007,0,0,3,11.0,0,0,0,0,0,1
2026,2026-03-26,LAN202603260,LAN,ARI,clart003,0,0,1,16.0,4,4,3,1,0,0
2026,2026-03-26,LAN202603260,LAN,ARI,hoffa001,0,1,5,33.0,0,0,1,0,2,0
2026,2026-03-26,MIL202603260,CHA,MIL,misij001,1,0,15,94.0,1,1,2,1,3,11
2026,2026-03-26,MIL202603260,CHA,MIL,ashba003,0,0,3,11.0,0,0,0,0,0,2
2026,2026-03-26,MIL202603260,CHA,MIL,andeg002,0,0,3,7.0,0,0,0,0,0,1
2026,2026-03-26,MIL202603260,CHA,MIL,halld004,0,0,3,27.0,0,0,1,0,2,3
2026,2026-03-26,MIL202603260,CHA,MIL,woodj003,0,1,3,16.0,1,1,1,1,0,3
2026,2026-03-26,MIL202603260,MIL,CHA,smits003,1,0,5,54.0,4,3,3,0,2,2
2026,2026-03-26,MIL202603260,MIL,CHA,newcs001,0,0,7,33.0,2,2,3,0,1,1
2026,2026-03-26,MIL202603260,MIL,CHA,gilbt001,0,0,3,18.0,2,2,2,1,1,0
2026,2026-03-26,MIL202603260,MIL,CHA,hickj002,0,0,2,34.0,3,3,2,0,4,0
2026,2026-03-26,MIL202603260,MIL,CHA,mlbam699151,0,0,4,36.0,3,3,2,1,2,0
2026,2026-03-26,MIL202603260,MIL,CHA,leasj001,0,1,3,11.0,0,0,0,0,0,0
2026,2026-03-26,NYN202603260,PIT,NYN,peraf001,1,0,15,80.0,4,4,6,2,0,7
2026,2026-03-26,NYN202603260,PIT,NYN,myert001,0,0,9,39.0,1,1,1,1,0,1
2026,2026-03-26,NYN202603260,PIT,NYN,garcl005,0,1,3,20.0,2,2,3,0,0,2
2026,2026-03-26,NYN202603260,NYN,PIT,skenp001,1,0,2,37.0,5,5,4,0,2,1
