season,game_key,date,game_number,home_team,away_team,home_score,away_score,park,home_sp,away_sp
2021,ANA202104010,2021-04-01,0,ANA,CHA,4,3,ANA01,bundd001,gioll001
2021,CHN202104010,2021-04-01,0,CHN,PIT,3,5,CHI11,hendk001,kuhlc001
2021,CIN202104010,2021-04-01,0,CIN,SLN,6,11,CIN09,castl003,flahj002
2021,COL202104010,2021-04-01,0,COL,LAN,8,5,DEN02,marqg001,kersc001
2021,DET202104010,2021-04-01,0,DET,CLE,3,2,DET05,boydm001,biebs001
2021,KCA202104010,2021-04-01,0,KCA,TEX,14,10,KAN06,kellb003,gibsk002
2021,MIA202104010,2021-04-01,0,MIA,TBA,0,1,MIA02,alcas001,glast001
2021,MIL202104010,2021-04-01,0,MIL,MIN,6,5,MIL06,woodb005,maedk001
2021,NYA202104010,2021-04-01,0,NYA,TOR,2,3,NYC21,coleg001,ryu-h001
2021,OAK202104010,2021-04-01,0,OAK,HOU,1,8,OAK01,bassc001,greiz001
2021,PHI202104010,2021-04-01,0,PHI,ATL,3,2,PHI13,nolaa001,friem001
2021,SDN202104010,2021-04-01,0,SDN,ARI,8,7,SAN02,darvy001,bumgm001
2021,SEA202104010,2021-04-01,0,SEA,SFN,8,7,SEA03,gonzm005,gausk001
2021,ANA202104020,2021-04-02,0,ANA,CHA,8,12,ANA01,heana001,keucd001
2021,BOS202104020,2021-04-02,0,BOS,BAL,0,3,BOS07,eovan001,meanj001
2021,COL202104020,2021-04-02,0,COL,LAN,6,11,DEN02,senza001,bauet001
2021,MIA202104020,2021-04-02,0,MIA,TBA,4,6,MIA02,lopep002,yarbr001
2021,OAK202104020,2021-04-02,0,OAK,HOU,5,9,OAK01,luzaj001,javic001
2021,SDN202104020,2021-04-02,0,SDN,ARI,4,2,SAN02,snelb001,kellm002
2021,SEA202104020,2021-04-02,0,SEA,SFN,3,6,SEA03,kikuy001,cuetj001
2021,ANA202104030,2021-04-03,0,ANA,CHA,5,3,ANA01,cobba001,lynnl001
2021,BOS202104030,2021-04-03,0,BOS,BAL,2,4,BOS07,houct001,harvm001
2021,CHN202104030,2021-04-03,0,CHN,PIT,5,1,CHI11,arrij001,andet002
2021,CIN202104030,2021-04-03,0,CIN,SLN,9,6,CIN09,mahlt001,waina001
2021,COL202104030,2021-04-03,0,COL,LAN,5,6,DEN02,grayj003,buehw001
2021,DET202104030,2021-04-03,0,DET,CLE,5,2,DET05,tehej001,plesz001
2021,KCA202104030,2021-04-03,0,KCA,TEX,11,4,KAN06,minom001,arihk001
2021,MIA202104030,2021-04-03,0,MIA,TBA,12,7,MIA02,herne002,hillr001
2021,MIL202104030,2021-04-03,0,MIL,MIN,0,2,MIL06,burnc002,berrj001
2021,NYA202104030,2021-04-03,0,NYA,TOR,5,3,NYC21,klubc001,strir001
2021,OAK202104030,2021-04-03,0,OAK,HOU,1,9,OAK01,irvic001,mccul002
2021,PHI202104030,2021-04-03,0,PHI,ATL,4,0,PHI13,wheez001,mortc002
2021,SDN202104030,2021-04-03,0,SDN,ARI,7,0,SAN02,musgj001,smitc006
2021,SEA202104030,2021-04-03,0,SEA,SFN,4,0,SEA03,flexc001,webbl001
2021,ANA202104040,2021-04-04,0,ANA,CHA,7,4,ANA01,ohtas001,ceasd001
2021,BOS202104040,2021-04-04,0,BOS,BAL,3,11,BOS07,richg002,zimmb002
2021,CHN202104040,2021-04-04,0,CHN,PIT,4,3,CHI11,daviz001,kellm003
2021,CIN202104040,2021-04-04,0,CIN,SLN,12,1,CIN09,hoffj003,martc006
2021,COL202104040,2021-04-04,0,COL,LAN,2,4,DEN02,gomba001,uriaj001
2021,DET202104040,2021-04-04,0,DET,CLE,3,9,DET05,skubt001,civaa001
2021,KCA202104040,2021-04-04,0,KCA,TEX,3,7,KAN06,singb001,lylej001
2021,MIL202104040,2021-04-04,0,MIL,MIN,2,8,MIL06,housa001,pinem001
