season,game_key,date,game_number,home_team,away_team,home_score,away_score,park,home_sp,away_sp
2026,SFN202603250,2026-03-25,0,SFN,NYA,0.0,7.0,SFO03,webbl001,friem001
2026,BAL202603260,2026-03-26,0,BAL,MIN,2.0,1.0,BAL12,roget003,ryanj002
2026,CHN202603260,2026-03-26,0,CHN,WAS,4.0,10.0,CHI11,boydm001,cavac001
2026,CIN202603260,2026-03-26,0,CIN,BOS,0.0,3.0,CIN09,abboa001,crocg001
2026,HOU202603260,2026-03-26,0,HOU,ANA,0.0,3.0,HOU03,browh001,sorij002
2026,LAN202603260,2026-03-26,0,LAN,ARI,8.0,2.0,LOS03,yamay001,gallz001
2026,MIL202603260,2026-03-26,0,MIL,CHA,14.0,2.0,MIL06,misij001,smits003
2026,NYN202603260,2026-03-26,0,NYN,PIT,11.0,7.0,NYC20,peraf001,skenp001
2026,PHI202603260,2026-03-26,0,PHI,TEX,5.0,3.0,PHI13,sancc002,eovan001
2026,SDN202603260,2026-03-26,0,SDN,DET,2.0,8.0,SAN02,piven001,skubt001
2026,SEA202603260,2026-03-26,0,SEA,CLE,4.0,6.0,SEA03,gilbl002,bibet001
2026,SLN202603260,2026-03-26,0,SLN,TBA,9.0,7.0,STL10,libem001,rasmd002
2026,ATL202603270,2026-03-27,0,ATL,KCA,6.0,0.0,ATL03,salec001,ragac001
2026,HOU202603270,2026-03-27,0,HOU,ANA,2.0,6.0,HOU03,burrm001,kikuy001
2026,LAN202603270,2026-03-27,0,LAN,ARI,5.0,4.0,LOS03,sheee001,nelsr003
2026,MIA202603270,2026-03-27,0,MIA,COL,2.0,1.0,MIA02,alcas001,freek001
2026,SDN202603270,2026-03-27,0,SDN,DET,2.0,5.0,SAN02,kingm002,valdf001
2026,SEA202603270,2026-03-27,0,SEA,CLE,5.0,1.0,SEA03,kirbg001,willg004
2026,SFN202603270,2026-03-27,0,SFN,NYA,0.0,3.0,SFO03,ray-r002,schlc001
2026,TOR202603270,2026-03-27,0,TOR,ATH,3.0,2.0,TOR02,gausk001,sevel001
2026,ATL202603280,2026-03-28,0,ATL,KCA,6.0,2.0,ATL03,loper003,wachm001
2026,BAL202603280,2026-03-28,0,BAL,MIN,1.0,4.0,BAL12,bradk001,bradt002
2026,CHN202603280,2026-03-28,0,CHN,WAS,10.0,2.0,CHI11,hortc001,mikom001
2026,CIN202603280,2026-03-28,0,CIN,BOS,6.0,5.0,CIN09,singb001,grays001
2026,HOU202603280,2026-03-28,0,HOU,ANA,11.0,9.0,HOU03,javic001,detmr001
2026,LAN202603280,2026-03-28,0,LAN,ARI,3.0,2.0,LOS03,glast001,rodre004
2026,MIA202603280,2026-03-28,0,MIA,COL,4.0,3.0,MIA02,peree004,lorem002
2026,MIL202603280,2026-03-28,0,MIL,CHA,6.0,1.0,MIL06,patrc001,burks001
2026,NYN202603280,2026-03-28,0,NYN,PIT,4.0,2.0,NYC20,peted003,kellm003
2026,PHI202603280,2026-03-28,0,PHI,TEX,4.0,5.0,PHI13,nolaa001,latzj001
2026,SDN202603280,2026-03-28,0,SDN,DET,3.0,0.0,SAN02,vasqr001,flahj002
2026,SEA202603280,2026-03-28,0,SEA,CLE,5.0,6.0,SEA03,woo-b001,cantj002
2026,SFN202603280,2026-03-28,0,SFN,NYA,1.0,3.0,SFO03,mahlt001,warrw001
2026,SLN202603280,2026-03-28,0,SLN,TBA,6.0,5.0,STL10,mcgrm001,boylj001
2026,TOR202603280,2026-03-28,0,TOR,ATH,8.0,7.0,TOR02,ceasd001,sprij001
2026,ATL202603290,2026-03-29,0,ATL,KCA,1.0,4.0,ATL03,holmg001,lugos001
2026,BAL202603290,2026-03-29,0,BAL,MIN,8.0,6.0,BAL12,baz-s001,oberb002
2026,CHN202603290,2026-03-29,0,CHN,WAS,3.0,6.0,CHI11,imans001,irvij001
2026,CIN202603290,2026-03-29,0,CIN,BOS,3.0,2.0,CIN09,lowdr001,earlc001
2026,HOU202603290,2026-03-29,0,HOU,ANA,9.0,7.0,HOU03,mlbam837227,kochj001
2026,MIA202603290,2026-03-29,0,MIA,COL,4.0,3.0,MIA02,meyem001,quinj001
2026,MIL202603290,2026-03-29,0,MIL,CHA,9.0,7.0,MIL06,sprob001,kay-a001
2026,NYN202603290,2026-03-29,0,NYN,PIT,3.0,4.0,NYC20,mclen001,mlodc001
2026,PHI202603290,2026-03-29,0,PHI,TEX,3.0,8.0,PHI13,luzaj001,gorem001
2026,SEA202603290,2026-03-29,0,SEA,CLE,8.0,0.0,SEA03,hance001,ceccs001
2026,SLN202603290,2026-03-29,0,SLN,TBA,7.0,11.0,STL10,may-d003,matzs001
2026,TOR202603290,2026-03-29,0,TOR,ATH,5.0,2.0,TOR02,lauee001,moral001
2026,ARI202603300,2026-03-30,0,ARI,DET,9.0,6.0,PHO01,sorom001,verlj001
2026,ATL202603300,2026-03-30,0,ATL,ATH,4.0,0.0,ATL03,eldeb001,lopej007
2026,BAL202603300,2026-03-30,0,BAL,TEX,2.0,5.0,BAL12,bassc001,leitj001
2026,CHN202603300,2026-03-30,0,CHN,ANA,7.0,2.0,CHI11,cabre003,johnr010
2026,CIN202603300,2026-03-30,0,CIN,PIT,2.0,0.0,CIN09,burnc003,ashcb001
2026,HOU202603300,2026-03-30,0,HOU,BOS,8.0,1.0,HOU03,mccul002,suarr001
2026,KCA202603300,2026-03-30,0,KCA,MIN,3.0,1.0,KAN06,bubik001,woods002
