season,week,half_life,home_team,away_team,rating_diff,home_field,rest_diff,actual_margin,actual_home_win
2014,4,2,WAS,NYG,0.1133577430787833,1.0,0,-31.0,False
2014,4,2,BAL,CAR,0.0317818212600978,1.0,0,28.0,True
2014,4,2,CHI,GB,-0.2478387768811058,1.0,-1,-21.0,False
2014,4,2,HOU,BUF,-0.103930411477241,1.0,0,6.0,True
2014,4,2,IND,TEN,0.1692467196500752,1.0,0,24.0,True
2014,4,2,NYJ,DET,0.308803857384068,1.0,-1,-7.0,False
2014,4,2,PIT,TB,0.3510556606634059,1.0,-3,-3.0,False
2014,4,2,MIN,ATL,-0.4492749421071847,1.0,-3,13.0,True
2014,4,2,SF,PHI,0.0013397404359124,1.0,0,5.0,True
2014,4,2,DAL,NO,-0.2027579222566135,1.0,0,21.0,True
2014,4,2,KC,NE,-0.0682513117855084,1.0,0,27.0,True
2014,4,4,WAS,NYG,0.1703739287457547,1.0,0,-31.0,False
2014,4,4,BAL,CAR,0.0133340043996141,1.0,0,28.0,True
2014,4,4,CHI,GB,-0.1740989183748669,1.0,-1,-21.0,False
2014,4,4,HOU,BUF,-0.0734364378945885,1.0,0,6.0,True
2014,4,4,IND,TEN,0.0901749480528209,1.0,0,24.0,True
2014,4,4,NYJ,DET,0.2431192863988968,1.0,-1,-7.0,False
2014,4,4,PIT,TB,0.3062809033470297,1.0,-3,-3.0,False
2014,4,4,MIN,ATL,-0.3925606675140568,1.0,-3,13.0,True
2014,4,4,SF,PHI,0.0381134684314463,1.0,0,5.0,True
2014,4,4,DAL,NO,-0.1687630430491675,1.0,0,21.0,True
2014,4,4,KC,NE,-0.0790031859553722,1.0,0,27.0,True
2014,4,6,WAS,NYG,0.1894026888269763,1.0,0,-31.0,False
2014,4,6,BAL,CAR,0.006929242649899,1.0,0,28.0,True
2014,4,6,CHI,GB,-0.1485791263223533,1.0,-1,-21.0,False
2014,4,6,HOU,BUF,-0.063294717942086,1.0,0,6.0,True
2014,4,6,IND,TEN,0.0643482483389539,1.0,0,24.0,True
2014,4,6,NYJ,DET,0.2203420706811897,1.0,-1,-7.0,False
2014,4,6,PIT,TB,0.2931581991953689,1.0,-3,-3.0,False
2014,4,6,MIN,ATL,-0.3743840705054653,1.0,-3,13.0,True
2014,4,6,SF,PHI,0.0516935943232199,1.0,0,5.0,True
2014,4,6,DAL,NO,-0.1582935205694831,1.0,0,21.0,True
2014,4,6,KC,NE,-0.0818233590397957,1.0,0,27.0,True
2014,4,10,WAS,NYG,0.2045670272669309,1.0,0,-31.0,False
2014,4,10,BAL,CAR,0.0017235668378407,1.0,0,28.0,True
2014,4,10,CHI,GB,-0.1278985281321828,1.0,-1,-21.0,False
2014,4,10,HOU,BUF,-0.0552411591380371,1.0,0,6.0,True
2014,4,10,IND,TEN,0.0439263817623,1.0,0,24.0,True
2014,4,10,NYJ,DET,0.2018705203138682,1.0,-1,-7.0,False
2014,4,10,PIT,TB,0.2833196278900953,1.0,-3,-3.0,False
2014,4,10,MIN,ATL,-0.3600900015511983,1.0,-3,13.0,True
2014,4,10,SF,PHI,0.0630106863325061,1.0,0,5.0,True
2014,4,10,DAL,NO,-0.1502977443892043,1.0,0,21.0,True
2014,4,10,KC,NE,-0.0837899109177519,1.0,0,27.0,True
2014,4,20,WAS,NYG,0.2158867406469522,1.0,0,-31.0,False
2014,4,20,BAL,CAR,-0.0022247222397347,1.0,0,28.0,True
2014,4,20,CHI,GB,-0.1122571343181024,1.0,-1,-21.0,False
2014,4,20,HOU,BUF,-0.0492507709659248,1.0,0,6.0,True
2014,4,20,IND,TEN,0.028763342285328,1.0,0,24.0,True
2014,4,20,NYJ,DET,0.1878931673435395,1.0,-1,-7.0,False
2014,4,20,PIT,TB,0.2763263499230527,1.0,-3,-3.0,False
2014,4,20,MIN,ATL,-0.3495104031221442,1.0,-3,13.0,True
2014,4,20,SF,PHI,0.0717536503355026,1.0,0,5.0,True
2014,4,20,DAL,NO,-0.1445416942552717,1.0,0,21.0,True
2014,4,20,KC,NE,-0.0850937244617171,1.0,0,27.0,True
2014,4,50,WAS,NYG,0.222650820681459,1.0,0,-31.0,False
2014,4,50,BAL,CAR,-0.0046105680933629,1.0,0,28.0,True
2014,4,50,CHI,GB,-0.1028257665378078,1.0,-1,-21.0,False
2014,4,50,HOU,BUF,-0.0456814213454983,1.0,0,6.0,True
2014,4,50,IND,TEN,0.0197326342338135,1.0,0,24.0,True
2014,4,50,NYJ,DET,0.1794627957971482,1.0,-1,-7.0,False
2014,4,50,PIT,TB,0.2722889590912748,1.0,-3,-3.0,False
2014,4,50,MIN,ATL,-0.3432198639550791,1.0,-3,13.0,True
2014,4,50,SF,PHI,0.0771013073205337,1.0,0,5.0,True
2014,4,50,DAL,NO,-0.141192689432515,1.0,0,21.0,True
2014,4,50,KC,NE,-0.0858052984993905,1.0,0,27.0,True
2014,4,100,WAS,NYG,0.2249003142607917,1.0,0,-31.0,False
2014,4,100,BAL,CAR,-0.0054085266510899,1.0,0,28.0,True
2014,4,100,CHI,GB,-0.0996749881777281,1.0,-1,-21.0,False
2014,4,100,HOU,BUF,-0.0444962270315247,1.0,0,6.0,True
2014,4,100,IND,TEN,0.0167339871795508,1.0,0,24.0,True
2014,4,100,NYJ,DET,0.1766460719182854,1.0,-1,-7.0,False
2014,4,100,PIT,TB,0.2709695568646417,1.0,-3,-3.0,False
2014,4,100,MIN,ATL,-0.3411324906898786,1.0,-3,13.0,True
2014,4,100,SF,PHI,0.0789004994125223,1.0,0,5.0,True
2014,4,100,DAL,NO,-0.1400943419649861,1.0,0,21.0,True
2014,4,100,KC,NE,-0.0860306953000626,1.0,0,27.0,True
2014,5,2,GB,MIN,0.3855667565723193,1.0,0,32.0,True
2014,5,2,CAR,CHI,0.0117216428484202,1.0,0,7.0,True
2014,5,2,DAL,HOU,0.2526351006200665,1.0,0,3.0,True
2014,5,2,DET,BUF,-0.0694483576808633,1.0,0,-3.0,False
2014,5,2,IND,BAL,-0.0824944143913383,1.0,0,7.0,True
2014,5,2,JAX,PIT,-0.4045803697140352,1.0,0,-8.0,False
2014,5,2,NO,TB,0.1281370583440889,1.0,0,6.0,True
2014,5,2,NYG,ATL,0.0450108688584752,1.0,3,10.0,True
2014,5,2,TEN,CLE,-0.2792908880751062,1.0,-7,-1.0,False
2014,5,2,DEN,ARI,-0.171858797153062,1.0,0,21.0,True
2014,5,2,SF,KC,-0.1639350460611225,1.0,1,5.0,True
2014,5,2,NE,CIN,-0.3169189350220604,1.0,-8,26.0,True
2014,5,2,WAS,SEA,-0.1636363053834888,1.0,-4,-10.0,False
2014,5,4,GB,MIN,0.3269054980352456,1.0,0,32.0,True
2014,5,4,CAR,CHI,0.0412037869067208,1.0,0,7.0,True
2014,5,4,DAL,HOU,0.1773201607158868,1.0,0,3.0,True
2014,5,4,DET,BUF,-0.0584460717078812,1.0,0,-3.0,False
2014,5,4,IND,BAL,-0.134036341266359,1.0,0,7.0,True
2014,5,4,JAX,PIT,-0.2914805258127057,1.0,0,-8.0,False
2014,5,4,NO,TB,0.1718928996167913,1.0,0,6.0,True
2014,5,4,NYG,ATL,0.0079124608118262,1.0,3,10.0,True
2014,5,4,TEN,CLE,-0.2318897471590854,1.0,-7,-1.0,False
2014,5,4,DEN,ARI,-0.1282694434973699,1.0,0,21.0,True
2014,5,4,SF,KC,-0.124141751977804,1.0,1,5.0,True
2014,5,4,NE,CIN,-0.2432067772267722,1.0,-8,26.0,True
2014,5,4,WAS,SEA,-0.1583218570761046,1.0,-4,-10.0,False
2014,5,6,GB,MIN,0.3037652382433984,1.0,0,32.0,True
2014,5,6,CAR,CHI,0.0517933921188486,1.0,0,7.0,True
2014,5,6,DAL,HOU,0.1513590549663202,1.0,0,3.0,True
2014,5,6,DET,BUF,-0.0522182686393272,1.0,0,-3.0,False
2014,5,6,IND,BAL,-0.1518282127778815,1.0,0,7.0,True
2014,5,6,JAX,PIT,-0.252712814773175,1.0,0,-8.0,False
2014,5,6,NO,TB,0.1840858885156745,1.0,0,6.0,True
2014,5,6,NYG,ATL,-0.0067653817844189,1.0,3,10.0,True
2014,5,6,TEN,CLE,-0.2154787511363921,1.0,-7,-1.0,False
2014,5,6,DEN,ARI,-0.1140330565258511,1.0,0,21.0,True
2014,5,6,SF,KC,-0.1099600746183294,1.0,1,5.0,True
2014,5,6,NE,CIN,-0.219902218962966,1.0,-8,26.0,True
2014,5,6,WAS,SEA,-0.1585249134876896,1.0,-4,-10.0,False
